PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PKBR;MATERI LAINNYA;JUMLAH PERTEMUAN;JUMLAH REMAJA HADIR DALAM PERTEMUAN;JUMLAH PERTEMUAN MATERI PKBR OLEH PIK REMAJA;BULAN
SULAWESI BARAT;MAMASA;MAMASA;2009;PEBASSIAN;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2010;MAMBULILING;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2011;BOMBONG LAMBE;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2012;BUBUN BATU;1;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;1001;SINYONYOI;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;1002;BEBANGA;2;2;100.00;2;0;2;50;2;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;1003;KALUKKU;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;1014;SINYONYOI SELATAN;1;1;100.00;1;0;1;27;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2004;SONDOANG;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2005;BERU-BERU;1;1;100.00;1;0;1;50;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2006;BELANG BELANG;1;1;100.00;1;0;1;28;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2007;KABULOANG;1;1;100.00;1;0;1;30;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2008;KEANG;1;1;100.00;1;0;1;4;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2009;POKKANG;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2010;GULILING;1;1;100.00;1;0;1;16;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2011;UHAIMATE;1;0;0.00;0;0;0;0;0;JANUARI
