PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI DIMENSI LANSIA TANGGUH;MATERI PEDOMAN PJP;MATERI PRA LANSIA;MATERI KELANJUT-USIAAN LAINNYA;MATERI KB DAN KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH ANGGOTA BKL;JUMLAH ANGGOTA KELUARGA HADIR;JUMLAH ANGGOTA LANSIA HADIR;STATUS PUS;STATUS BER-KB;BULAN
SULAWESI BARAT;MAJENE;MALUNDA;2004;LOMBANG;1;1;100.00;1;0;0;0;0;0;1;1;0;56;45;0;7;4;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2005;LOMBONG;1;1;100.00;1;1;0;0;1;0;1;1;0;90;63;23;10;7;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2006;MEKKATTA;1;1;100.00;1;0;0;0;1;0;1;1;0;65;64;32;4;2;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2010;MALIAYA;1;1;100.00;1;0;0;0;0;0;1;1;0;53;46;0;9;5;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2011;LOMBANG TIMUR;1;1;100.00;1;0;0;0;0;0;1;1;0;31;26;0;11;10;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2012;SALUTAHONGAN;1;1;100.00;1;0;0;0;1;0;1;1;0;29;24;0;18;11;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2013;LOMBONG TIMUR;1;1;100.00;1;0;0;0;0;0;1;1;0;37;28;0;15;3;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2014;MEKKATTA SELATAN;1;1;100.00;1;0;0;0;0;0;1;1;0;30;26;1;9;7;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2016;KAYUANGIN;1;1;100.00;1;0;1;0;1;0;1;1;0;60;33;21;5;4;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1001;BAURUNG;1;1;100.00;1;0;0;0;1;0;1;1;0;172;51;44;9;8;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1002;BARUGA;1;1;100.00;1;0;0;0;0;0;1;1;0;69;20;2;12;12;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1003;BARUGA DHUA;1;1;100.00;1;0;0;0;1;0;1;1;0;94;35;35;1;0;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1004;LABUANG;1;1;100.00;1;0;0;0;1;0;1;1;0;207;81;17;5;4;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1005;TANDE;1;1;100.00;1;0;0;0;1;0;1;1;0;83;29;17;2;2;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1006;LEMBANG;1;1;100.00;1;0;0;0;1;0;1;1;0;199;42;34;3;3;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1007;LABUANG UTARA;1;1;100.00;1;0;1;0;0;0;1;1;0;245;46;47;0;0;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1008;TANDE TIMUR;1;1;100.00;1;0;0;0;0;0;1;1;0;138;93;100;3;2;JANUARI
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;2009;BUTTU BARUGA;1;1;100.00;1;0;0;0;1;0;1;1;0;36;32;0;6;4;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;1001;MOSSO;1;1;100.00;1;1;0;1;1;1;1;1;0;199;83;73;6;4;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;1002;MOSSO DHUA;1;1;100.00;1;0;0;1;1;1;1;1;0;31;26;29;6;4;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2004;TOTOLISI SENDANA;1;1;100.00;1;1;0;0;1;0;1;1;0;68;41;42;1;0;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2007;TALLUBANUA;1;1;100.00;1;0;0;0;1;0;1;1;0;69;32;31;0;0;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2015;LALATEDZONG;1;1;100.00;1;1;0;0;1;0;1;1;0;68;58;33;1;1;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2016;BINANGA;1;1;100.00;1;0;0;0;1;0;1;1;0;46;20;22;2;2;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2017;PUTTADA;1;1;100.00;1;1;0;0;1;0;1;1;0;44;20;22;1;0;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2018;PAMINGGALAN;1;1;100.00;1;0;1;1;1;1;1;1;0;23;17;19;5;3;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2019;LEPPANGANG;1;1;100.00;1;0;0;0;1;0;1;1;0;23;15;9;5;1;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2020;PUNDAU;1;1;100.00;1;1;0;0;1;0;1;1;0;48;35;43;2;1;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2021;SENDANA;1;1;100.00;1;0;1;0;1;0;1;0;0;65;15;18;2;0;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2022;BANUA SENDANA;1;1;100.00;1;0;0;0;1;0;1;1;0;66;21;21;2;2;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2023;TALLUBANUA UTARA;1;1;100.00;1;1;0;0;1;0;1;1;0;71;33;33;3;1;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2024;LIMBORO RAMBU- RAMBU;1;1;100.00;1;1;0;0;1;0;1;1;0;36;32;30;6;0;JANUARI
SULAWESI BARAT;MAJENE;SENDANA;2025;LIMBUA;1;1;100.00;1;0;1;1;1;1;1;1;0;71;38;40;1;0;JANUARI
