;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH BUMIL;BUMIL TERDAMPINGI;BUMIL TIDAK TERDAMPINGI;JUMLAH BUMIL >=32 MINGGU;BUMIL >=32 MINGGU MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU TIDAK MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU AKAN KBPP;BUMIL >=32 MINGGU MEMUTUSKAN TIDAK KBPP;MENDAPATKAN TTD;TIDAK MENDAPATKAN TTD;MENGKOMSUMSI TTD;TIDAK MENGKOMSUMSI TTD;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK MENDAPAT KIE;MENDAPAT FASILITASI RUJUKAN;TIDAK MENDAPAT FASILITASI RUJUKAN;MENDAPAT FASILITASI BANSOS;TIDAK MENDAPAT FASILITASI BANSOS
130;SULAWESI BARAT;MAMUJU;SIMBORO;SALETTO;17;11;6;8;5;0;5;0;11;0;11;0;10;0;0;1;3;8;5;6
131;SULAWESI BARAT;MAMUJU;SIMBORO;SUMARE;27;42;-15;25;20;0;20;0;42;0;38;4;3;34;0;5;2;40;1;41
132;SULAWESI BARAT;MAMUJU;SIMBORO;BOTTENG UTARA;34;28;6;14;5;0;4;1;26;2;26;2;7;1;20;0;0;28;13;15
133;SULAWESI BARAT;MAMUJU;SIMBORO;TAPANDULLU;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;SULAWESI BARAT;MAMUJU;SIMBORO;PATI'DI;12;7;5;4;1;0;1;0;7;0;7;0;4;3;0;0;7;0;7;0
135;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;DUNGKAIT;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;LEBANI;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;LABUANG RANO;15;7;8;0;0;0;0;0;7;0;7;0;2;0;5;0;3;4;7;0
138;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;PASABU;21;34;-13;15;12;0;8;4;31;3;31;3;34;0;0;0;5;29;9;25
139;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;TANETE PAO;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;PANGASAAN;8;3;5;1;1;0;1;0;3;0;3;0;0;0;3;0;0;3;0;3
141;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;AHU;31;8;23;4;3;0;0;3;8;0;8;0;1;0;7;0;2;6;0;8
142;SULAWESI BARAT;MAMUJU;TOMMO;TOMMO;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;SULAWESI BARAT;MAMUJU;TOMMO;CAMPALOGA;16;3;13;2;2;0;2;0;3;0;3;0;0;0;3;0;3;0;0;3
144;SULAWESI BARAT;MAMUJU;TOMMO;BUANA SAKTI;21;18;3;9;9;0;9;0;18;0;18;0;17;0;1;0;8;10;3;15
145;SULAWESI BARAT;MAMUJU;TOMMO;TAMEMONGGA;3;1;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1
