PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELURAHAN/DESA;JUMLAH KAMPUNG KB;2016;2017;2018;2019;> 2019;KAMPUNG KB MANDIRI;KAMPUNG KB PERCONTOHAN
SULAWESI BARAT;MAJENE;MALUNDA;2004;LOMBANG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2005;LOMBONG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2006;MEKKATTA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2010;MALIAYA;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2011;LOMBANG TIMUR;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2012;SALUTAHONGAN;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2013;LOMBONG TIMUR;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2014;MEKKATTA SELATAN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2016;KAYUANGIN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1001;BAURUNG;1;1;0;0;1;0;0;0;1
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1002;BARUGA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1003;BARUGA DHUA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1004;LABUANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1005;TANDE;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1006;LEMBANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1007;LABUANG UTARA;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1008;TANDE TIMUR;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;2009;BUTTU BARUGA;1;1;1;0;0;0;0;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;1001;LALAMPANUA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;1002;SIRINDU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2003;ADOLANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2004;BABABULO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2005;BONDE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2006;BETTENG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2007;SIMBANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2008;BONDE UTARA;1;1;0;0;1;0;0;0;1
SULAWESI BARAT;MAJENE;PAMBOANG;2009;BABABULO UTARA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2010;BUTTU PAMBOANG;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2011;BANUA ADOLANG;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2012;ADOLANG DHUA;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2013;TINAMBUNG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2014;PESULOANG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;PAMBOANG;2015;BALOMBONG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;1001;MOSSO;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;SENDANA;1002;MOSSO DHUA;1;1;0;0;0;0;1;0;0
