;PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELUARGA;JUMLAH KELUARGA SASARAN;KESEJAHTERAAN 1;KESEJAHTERAAN 2;KESEJAHTERAAN 3;KESEJAHTERAAN 4;KESEJAHTERAAN > 4;JUMLAH KRS;JUMLAH TIDAK BERESIKO;PUNYA BADUTA;PUNYA BALITA;PUS;PUS HAMIL;SUMBER AIR MINUM TIDAK LAYAK;JAMBAN TIDAK LAYAK;TERLALU MUDA;TERLALU TUA;TERLALU DEKAT;TERLALU BANYAK;PUS 4T;BUKAN PESERTA KB MODERN;PERIODE
120;SULAWESI BARAT;MAMUJU;SAMPAGA;2002;KALONDING;794;543;16;23;28;15;80;162;381;54;115;542;1;125;71;10;130;1;77;188;77;Sem 2 2024
121;SULAWESI BARAT;MAMUJU;SAMPAGA;2003;TARAILU;814;553;0;3;9;18;76;106;447;52;118;549;1;4;31;3;134;6;149;238;207;Sem 2 2024
122;SULAWESI BARAT;MAMUJU;SAMPAGA;2004;SAMPAGA;385;267;13;17;16;10;24;80;187;31;76;265;1;33;43;7;58;4;93;132;57;Sem 2 2024
123;SULAWESI BARAT;MAMUJU;SAMPAGA;2005;TANAMBUAH;164;104;2;0;0;1;0;3;101;10;18;103;0;0;1;1;20;1;18;35;17;Sem 2 2024
124;SULAWESI BARAT;MAMUJU;SAMPAGA;2006;SALUBARANA;196;118;0;2;3;3;5;13;105;14;28;118;0;5;2;1;27;2;32;53;26;Sem 2 2024
125;SULAWESI BARAT;MAMUJU;SAMPAGA;2007;LOSSO;264;183;2;1;1;1;5;10;173;20;35;182;1;2;3;1;40;3;51;77;17;Sem 2 2024
126;SULAWESI BARAT;MAMUJU;PAPALANG;2001;TOABO;1339;844;2;3;5;2;124;136;708;91;206;840;5;66;11;13;198;5;133;300;218;Sem 2 2024
127;SULAWESI BARAT;MAMUJU;PAPALANG;2002;PAPALANG;1608;1116;31;37;58;42;283;451;665;147;290;1104;14;96;198;24;239;21;406;543;484;Sem 2 2024
128;SULAWESI BARAT;MAMUJU;PAPALANG;2003;BONDA;584;432;37;40;33;18;20;148;284;17;92;430;0;3;97;2;109;3;183;234;126;Sem 2 2024
129;SULAWESI BARAT;MAMUJU;PAPALANG;2004;TOPORE;855;537;5;9;8;11;219;252;285;57;76;535;2;38;89;4;136;5;174;269;355;Sem 2 2024
130;SULAWESI BARAT;MAMUJU;PAPALANG;2005;SALUKAYU;463;350;30;32;19;7;12;100;250;28;98;350;0;23;69;3;77;6;121;165;75;Sem 2 2024
131;SULAWESI BARAT;MAMUJU;PAPALANG;2006;SUKADAMAI;224;139;2;6;5;3;6;22;117;10;28;139;0;4;11;1;39;0;33;59;27;Sem 2 2024
132;SULAWESI BARAT;MAMUJU;PAPALANG;2007;BODA-BODA;468;285;7;9;14;8;18;56;229;29;68;285;16;8;18;2;59;1;73;112;115;Sem 2 2024
133;SULAWESI BARAT;MAMUJU;PAPALANG;2008;SISANGO;211;139;9;9;6;2;8;34;105;14;28;138;4;22;5;0;31;0;35;57;23;Sem 2 2024
134;SULAWESI BARAT;MAMUJU;PAPALANG;2009;BATU AMPA;308;231;14;8;2;2;0;26;205;21;55;231;0;2;6;1;51;2;108;129;41;Sem 2 2024
135;SULAWESI BARAT;MAMUJU;SIMBORO;1001;SIMBORO;4476;3523;11;17;35;51;1304;1418;2105;346;895;3512;49;7;609;11;1006;70;1059;1711;2144;Sem 2 2024
136;SULAWESI BARAT;MAMUJU;SIMBORO;1002;RANGAS;1248;938;18;28;23;29;165;263;675;90;243;930;1;14;145;29;218;10;307;458;310;Sem 2 2024
137;SULAWESI BARAT;MAMUJU;SIMBORO;2003;BOTTENG;582;424;18;30;15;20;56;139;285;55;118;422;14;5;68;10;80;8;132;179;228;Sem 2 2024
